beds,category,city,direction,district,news_begin_date,news_end_date,news_id,news_type_level,price,root,square,street,ward,label_price
,Nhà đất cho thuê,Đắk Lắk,,Buôn Ma Thuột,6/21/2018,12/18/2018,16474716,Tin thường,6,nha_dat_thue,Không xác định,Lê Duẩn,,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 2,9/6/2018,9/13/2018,16404073,Tin thường,18,nha_dat_ban,100m²,Nguyễn Thị Định,Cát Lái,triệu/m²
1+,Nhà đất cho thuê,Hà Nội,,Hoàn Kiếm,9/9/2018,9/16/2018,10427135,Tin thường,11,nha_dat_thue,40m²,Yết Kiêu,Trần Hưng Đạo,triệu/tháng
3+,Nhà đất cho thuê,Hà Nội,Đông-Nam,Thanh Xuân,9/3/2018,9/10/2018,17293240,Tin thường,17,nha_dat_thue,134m²,Nguyễn Trãi,Thượng Đình,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/8/2018,9/15/2018,17519215,Tin thường,24.8,nha_dat_ban,209m²,Lê Văn Sỹ,1,tỷ
,Nhà đất bán,Hà Nội,,Đống Đa,9/6/2018,9/13/2018,10225089,Tin thường,178.08,nha_dat_thue,500m²,Láng,Láng Thượng,nghìn/m2/tháng
,Nhà đất cho thuê,Hà Nội,,Hoàn Kiếm,9/10/2018,9/17/2018,17533694,Tin thường,60,nha_dat_thue,40m²,Chả Cá,Hàng Đào,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Củ Chi,9/7/2018,9/14/2018,17506196,Tin thường,15,nha_dat_ban,85m²,Võ Văn Bích,Tân Thạnh Đông,triệu/m²
,Nhà đất bán,Quảng Nam,Đông-Nam,Điện Bàn,9/5/2018,9/12/2018,17477506,Tin Vip 3,14.5,nha_dat_ban,152.5m²,Dũng Sĩ Điện Ngọc,Điện Ngọc,triệu/m²
,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 9,9/10/2018,9/17/2018,17535321,Tin thường,32,nha_dat_ban,60m²,Gò Cát,Phú Hữu,triệu/m²
,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Hóc Môn,9/6/2018,9/13/2018,17117454,Tin thường,2.7,nha_dat_ban,79.2m²,Đông Lân,Bà Điểm,tỷ
,Nhà đất bán,Đắk Lắk,,Buôn Đôn,7/5/2018,1/1/2019,16657004,Tin thường,480,nha_dat_ban,Không xác định,,Ea Nuôl,triệu
,Nhà đất bán,Hồ Chí Minh,,Quận 2,9/7/2018,9/14/2018,16442704,Tin thường,,nha_dat_ban,100m²,Nguyễn Duy Trinh,,
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Phú,9/4/2018,9/11/2018,16783589,Tin thường,15,nha_dat_thue,78.2m²,Lê Cảnh Tuân,Phú Thọ Hòa,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 1,8/22/2018,11/20/2018,17302319,Tin thường,6.5,nha_dat_thue,Không xác định,Nguyễn Thị Nghĩa,Bến Thành,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 8,9/9/2018,9/16/2018,16681407,Tin thường,2.5,nha_dat_ban,36.3m²,Phú Định,16,tỷ
2+,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 10,9/4/2018,9/14/2018,17357648,Tin Vip đặc biệt,3.3,nha_dat_ban,70m²,Lý Thường Kiệt,14,tỷ
,Nhà đất bán,Đồng Nai,Nam,Biên Hòa,9/6/2018,9/13/2018,17428306,Tin thường,980,nha_dat_ban,100m²,,Trảng Dài,triệu
,Nhà đất bán,Hồ Chí Minh,,Củ Chi,8/21/2018,2/17/2019,17303177,Tin thường,18,nha_dat_ban,3800m²,,Tân Phú Trung,tỷ
,Nhà đất bán,Long An,,Cần Giuộc,9/3/2018,9/11/2018,17004666,Tin thường,950,nha_dat_ban,80m²,Lê Văn Lương,Long Hậu,triệu
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/8/2018,9/15/2018,16606335,Tin thường,890,nha_dat_ban,90m²,Phạm Hùng,Bình Hưng,triệu
,Nhà đất bán,Đà Nẵng,Nam,Ngũ Hành Sơn,9/6/2018,9/13/2018,17499004,Tin thường,150,nha_dat_ban,320m²,Hồ Xuân Hương,Mỹ An,triệu/m²
3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/5/2018,9/12/2018,17478391,Tin thường,17,nha_dat_thue,128m²,D4,Tân Hưng,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/7/2018,9/14/2018,16376786,Tin thường,4.05,nha_dat_ban,52m²,Số 5,16,tỷ
4+,Nhà đất bán,Hà Nội,,Tây Hồ,8/3/2018,11/3/2018,16012477,Tin thường,108,nha_dat_ban,140m²,An Dương Vương,Phú Thượng,triệu/m²
,Nhà đất bán,Hà Nội,,Đống Đa,9/6/2018,9/13/2018,17495829,Tin thường,9.5,nha_dat_ban,65m²,Yên Lãng,Trung Liệt,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 6,9/5/2018,9/13/2018,17385596,Tin thường,30,nha_dat_thue,100m²,Bình Phú,11,triệu/tháng
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,9/3/2018,9/10/2018,14927120,Tin thường,20,nha_dat_thue,Không xác định,Quốc Hương,Thảo Điền,triệu/tháng
,Nhà đất bán,Cần Thơ,,Bình Thủy,8/26/2018,9/26/2018,17388751,Tin thường,22,nha_dat_ban,1433.7m²,Nguyễn Văn Linh,Long Hòa,tỷ
3+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 12,9/10/2018,9/17/2018,16167361,Tin thường,3.1,nha_dat_ban,60m²,Thạnh Lộc 19,Thạnh Lộc,tỷ
,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Cần Giờ,9/8/2018,9/15/2018,17526053,Tin thường,2,nha_dat_ban,2000m²,Rừng Sác,Bình Khánh,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/10/2018,9/17/2018,17237805,Tin thường,74,nha_dat_ban,579m²,Cộng Hòa,13,tỷ
3+,Nhà đất bán,Hà Nội,Tây-Nam,Nam Từ Liêm,9/7/2018,9/14/2018,17213780,Tin thường,2.5,nha_dat_ban,35m²,70,Tây Mỗ,tỷ
5+,Nhà đất bán,Hồ Chí Minh,,Quận 10,9/4/2018,9/11/2018,17322545,Tin Vip 1,7.5,nha_dat_ban,46.3m²,Cao Thắng,,tỷ
,Nhà đất bán,Quảng Nam,Tây-Nam,Điện Bàn,9/7/2018,9/14/2018,17510084,Tin thường,1.3,nha_dat_ban,123m²,Trần Đại Nghĩa,Điện Ngọc,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/8/2018,9/15/2018,17521696,Tin thường,400,nha_dat_ban,56m²,Quách Điêu,Vĩnh Lộc A,triệu
2+,Nhà đất bán,Hà Nội,,Thanh Trì,9/5/2018,9/12/2018,17410040,Tin Vip 3,1.799,nha_dat_ban,74.08m²,Nguyễn Xiển,Tân Triều,tỷ
,Nhà đất bán,Đồng Nai,Bắc,Biên Hòa,9/8/2018,9/15/2018,15464142,Tin thường,35,nha_dat_ban,924m²,Nguyễn Thành Phương,Thống Nhất,tỷ
,Nhà đất bán,Bình Định,,Quy Nhơn,9/7/2018,9/14/2018,17504788,Tin thường,3,nha_dat_ban,300m²,,Nhơn Lý,tỷ
,Nhà đất bán,Đà Nẵng,Đông,Sơn Trà,9/4/2018,9/11/2018,17134420,Tin thường,13.4,nha_dat_ban,250m²,Trần Hưng Đạo,,tỷ
,Nhà đất bán,Hà Nội,Đông-Nam,Thanh Xuân,9/5/2018,9/12/2018,16538505,Tin thường,13.2,nha_dat_ban,147m²,Triều Khúc,Thanh Xuân Nam,tỷ
,Nhà đất bán,Hà Nội,Đông-Nam,Đống Đa,9/7/2018,9/14/2018,17507612,Tin thường,4.8,nha_dat_ban,48m²,Phạm Ngọc Thạch,Trung Tự,tỷ
4+,Nhà đất cho thuê,Hải Phòng,Tây-Nam,Ngô Quyền,9/4/2018,9/11/2018,14941708,Tin thường,20,nha_dat_thue,80m²,Văn Cao,Đằng Giang,triệu/tháng
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 4,9/7/2018,9/14/2018,17509350,Tin thường,19.77,nha_dat_thue,72m²,Bến Vân Đồn,6,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Hoàng Mai,8/31/2018,2/27/2019,17377281,Tin thường,15,nha_dat_thue,60m²,Nguyễn Cảnh Dị,Định Công,triệu/tháng
,Nhà đất bán,Khánh Hòa,Đông-Nam,Nha Trang,9/9/2018,9/16/2018,16073379,Tin thường,32,nha_dat_ban,91.9m²,Phùng Hưng,Vĩnh Thái,triệu/m²
,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,6/25/2018,12/22/2018,16528379,Tin thường,4.3,nha_dat_thue,30m²,Trần Kế Xương,3,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/6/2018,9/13/2018,16706228,Tin thường,28,nha_dat_ban,120m²,Nguyễn Cư Trinh,Phạm Ngũ Lão,tỷ
3+,Nhà đất bán,Đà Nẵng,Tây-Nam,Hải Châu,9/7/2018,9/17/2018,17064593,Tin thường,3.3,nha_dat_ban,94m²,Hải Phòng,,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/7/2018,9/14/2018,17510013,Tin thường,1.52,nha_dat_ban,52m²,Tỉnh Lộ 10,Tân Tạo,tỷ
5+,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/10/2018,9/17/2018,17533473,Tin thường,8,nha_dat_ban,63m²,Lý Chính Thắng,7,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 10,9/6/2018,9/13/2018,17497631,Tin thường,11.5,nha_dat_ban,44m²,Cửu Long,15,tỷ
4+,Nhà đất bán,Bình Dương,Đông,Thuận An,9/8/2018,9/15/2018,17414308,Tin thường,15.5,nha_dat_ban,480m²,Quốc Lộ 13,Bình Hòa,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 10,9/7/2018,9/14/2018,17504066,Tin thường,26,nha_dat_ban,90m²,Lý Thường Kiệt,15,tỷ
,Nhà đất bán,Bình Dương,,Bến Cát,9/6/2018,9/13/2018,13984168,Tin thường,650,nha_dat_ban,100m²,Vành Đai 4,,triệu
5+,Nhà đất cho thuê,Hà Nội,Đông-Nam,Tây Hồ,9/6/2018,9/13/2018,17159639,Tin thường,18,nha_dat_thue,50m²,Âu Cơ,Tứ Liên,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/4/2018,9/11/2018,16414314,Tin thường,227.7,nha_dat_thue,200m²,Nguyễn Hoàng,Mỹ Đình 2,nghìn/m2/tháng
4+,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/8/2018,9/15/2018,17523770,Tin thường,5.2,nha_dat_ban,56m²,Lý Chính Thắng,7,tỷ
3+,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,8/29/2018,11/27/2018,17378621,Tin thường,25,nha_dat_thue,135m²,Nguyễn Hữu Cảnh,22,triệu/tháng
2+,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/7/2018,9/15/2018,15318037,Tin thường,12,nha_dat_thue,86m²,Hàm Nghi,Cầu Diễn,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/8/2018,9/15/2018,17522593,Tin thường,7.9,nha_dat_ban,96m²,Trần Thái Tông,15,tỷ
2+,Nhà đất bán,Hà Nội,,Hai Bà Trưng,9/7/2018,9/16/2018,17503221,Tin thường,3.9,nha_dat_ban,40m²,Minh Khai,Minh Khai,tỷ
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Thủ Đức,9/9/2018,9/16/2018,17528703,Tin thường,6.8,nha_dat_ban,96m²,Số 8,Hiệp Bình Phước,tỷ
,Nhà đất bán,Đà Nẵng,,Liên Chiểu,9/10/2018,9/17/2018,17534050,Tin thường,10,nha_dat_ban,100m²,,Hòa Hiệp Nam,triệu/m²
,Nhà đất bán,Bình Dương,,Thuận An,9/10/2018,10/10/2018,17537193,Tin thường,2.1,nha_dat_ban,100m²,NA5,Bình Hòa,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/9/2018,9/16/2018,12810840,Tin thường,25,nha_dat_ban,57m²,Long Phước,Long Phước,triệu/m²
4+,Nhà đất bán,Hồ Chí Minh,,Bình Tân,9/7/2018,9/24/2018,17006438,Tin thường,28,nha_dat_ban,200m²,34,Bình Trị Đông B,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/6/2018,9/13/2018,17388473,Tin thường,1.4,nha_dat_ban,Không xác định,Vĩnh Lộc,Vĩnh Lộc B,tỷ
2+,Nhà đất cho thuê,Bình Dương,,Thuận An,8/24/2018,9/14/2018,17358293,Tin thường,7,nha_dat_thue,170m²,Vĩnh Phú 33,Vĩnh Phú,triệu/tháng
,Nhà đất bán,Hà Nội,,Hoàng Mai,9/5/2018,9/12/2018,16290178,Tin Vip 1,1.75,nha_dat_ban,30m²,Ngũ Nhạc,Thanh Trì,tỷ
,Nhà đất bán,Đắk Lắk,,Buôn Hồ,9/10/2018,9/17/2018,16865111,Tin thường,4.6,nha_dat_ban,150m²,Trần Hưng Đạo,An Lạc,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/4/2018,9/11/2018,17458102,Tin Vip 3,30,nha_dat_ban,200m²,Nguyễn Oanh,7,tỷ
,Nhà đất bán,Hà Nội,Đông-Nam,Nam Từ Liêm,9/6/2018,9/13/2018,17494667,Tin thường,40,nha_dat_ban,126m²,70,Tây Mỗ,triệu/m²
,Nhà đất bán,Hà Nội,,Cầu Giấy,9/7/2018,9/14/2018,16711523,Tin thường,4.2,nha_dat_ban,55m²,Hồ Tùng Mậu,Mai Dịch,tỷ
,Nhà đất cho thuê,Hà Nội,,Hoàn Kiếm,8/31/2018,9/30/2018,17441083,Tin thường,50,nha_dat_thue,40m²,Phan Chu Trinh,Phan Chu Trinh,triệu/tháng
,Nhà đất bán,Hà Nội,,Hoàng Mai,9/7/2018,9/14/2018,16355145,Tin thường,43.1,nha_dat_ban,200m²,Nguyễn Xiển,Đại Kim,tỷ
